other,territory,type,mapTimezones_Id
Dateline Standard Time,1,Etc/GMT+12,0
UTC-11,1,Etc/GMT+11,0
UTC-11,AS,Pacific/Pago_Pago,0
UTC-11,NU,Pacific/Niue,0
UTC-11,UM,Pacific/Midway,0
Aleutian Standard Time,US,America/Adak,0
Hawaiian Standard Time,1,Pacific/Honolulu,0
Hawaiian Standard Time,CK,Pacific/Rarotonga,0
Hawaiian Standard Time,PF,Pacific/Tahiti,0
Hawaiian Standard Time,UM,Pacific/Johnston,0
Hawaiian Standard Time,ZZ,Etc/GMT+10,0
Marquesas Standard Time,PF,Pacific/Marquesas,0
Alaskan Standard Time,1,America/Anchorage,0
UTC-09,PF,Pacific/Gambier,0
UTC-09,ZZ,Etc/GMT+9,0
Pacific Standard Time (Mexico),1,America/Tijuana,0
Pacific Standard Time (Mexico),MX,America/Tijuana America/Santa_Isabel,0
UTC-08,PN,Pacific/Pitcairn,0
UTC-08,ZZ,Etc/GMT+8,0
Pacific Standard Time,1,America/Los_Angeles,0
Pacific Standard Time,CA,America/Vancouver America/Dawson America/Whitehorse,0
Pacific Standard Time,ZZ,PST8PDT,0
US Mountain Standard Time,1,America/Phoenix,0
US Mountain Standard Time,CA,America/Dawson_Creek America/Creston America/Fort_Nelson,0
US Mountain Standard Time,MX,America/Hermosillo,0
US Mountain Standard Time,ZZ,Etc/GMT+7,0
Mountain Standard Time (Mexico),1,America/Chihuahua,0
Mountain Standard Time (Mexico),MX,America/Chihuahua America/Mazatlan,0
Mountain Standard Time,1,America/Denver,0
Mountain Standard Time,CA,America/Edmonton America/Cambridge_Bay America/Inuvik America/Yellowknife,0
Mountain Standard Time,MX,America/Ojinaga,0
Mountain Standard Time,US,America/Denver America/Boise,0
Mountain Standard Time,ZZ,MST7MDT,0
Central America Standard Time,1,America/Guatemala,0
Central America Standard Time,BZ,America/Belize,0
Central America Standard Time,CR,America/Costa_Rica,0
Central America Standard Time,EC,Pacific/Galapagos,0
Central America Standard Time,HN,America/Tegucigalpa,0
Central America Standard Time,NI,America/Managua,0
Central America Standard Time,SV,America/El_Salvador,0
Central America Standard Time,ZZ,Etc/GMT+6,0
Central Standard Time,1,America/Chicago,0
Central Standard Time,CA,America/Winnipeg America/Rainy_River America/Rankin_Inlet America/Resolute,0
Central Standard Time,MX,America/Matamoros,0
Central Standard Time,US,America/Chicago America/Indiana/Knox America/Indiana/Tell_City America/Menominee America/North_Dakota/Beulah America/North_Dakota/Center America/North_Dakota/New_Salem,0
Central Standard Time,ZZ,CST6CDT,0
Easter Island Standard Time,1,Pacific/Easter,0
Central Standard Time (Mexico),1,America/Mexico_City,0
Central Standard Time (Mexico),MX,America/Mexico_City America/Bahia_Banderas America/Merida America/Monterrey,0
Canada Central Standard Time,1,America/Regina,0
Canada Central Standard Time,CA,America/Regina America/Swift_Current,0
SA Pacific Standard Time,1,America/Bogota,0
SA Pacific Standard Time,BR,America/Rio_Branco America/Eirunepe,0
SA Pacific Standard Time,CA,America/Coral_Harbour,0
SA Pacific Standard Time,EC,America/Guayaquil,0
SA Pacific Standard Time,JM,America/Jamaica,0
SA Pacific Standard Time,KY,America/Cayman,0
SA Pacific Standard Time,PA,America/Panama,0
SA Pacific Standard Time,PE,America/Lima,0
SA Pacific Standard Time,ZZ,Etc/GMT+5,0
Eastern Standard Time (Mexico),1,America/Cancun,0
Eastern Standard Time,1,America/New_York,0
Eastern Standard Time,BS,America/Nassau,0
Eastern Standard Time,CA,America/Toronto America/Iqaluit America/Montreal America/Nipigon America/Pangnirtung America/Thunder_Bay,0
Eastern Standard Time,US,America/New_York America/Detroit America/Indiana/Petersburg America/Indiana/Vincennes America/Indiana/Winamac America/Kentucky/Monticello America/Louisville,0
Eastern Standard Time,ZZ,EST5EDT,0
Haiti Standard Time,1,America/Port-au-Prince,0
Cuba Standard Time,1,America/Havana,0
US Eastern Standard Time,1,America/Indianapolis,0
US Eastern Standard Time,US,America/Indianapolis America/Indiana/Marengo America/Indiana/Vevay,0
Paraguay Standard Time,1,America/Asuncion,0
Atlantic Standard Time,1,America/Halifax,0
Atlantic Standard Time,BM,Atlantic/Bermuda,0
Atlantic Standard Time,CA,America/Halifax America/Glace_Bay America/Goose_Bay America/Moncton,0
Atlantic Standard Time,GL,America/Thule,0
Venezuela Standard Time,1,America/Caracas,0
Central Brazilian Standard Time,1,America/Cuiaba,0
Central Brazilian Standard Time,BR,America/Cuiaba America/Campo_Grande,0
SA Western Standard Time,1,America/La_Paz,0
SA Western Standard Time,AG,America/Antigua,0
SA Western Standard Time,AI,America/Anguilla,0
SA Western Standard Time,AW,America/Aruba,0
SA Western Standard Time,BB,America/Barbados,0
SA Western Standard Time,BL,America/St_Barthelemy,0
SA Western Standard Time,BQ,America/Kralendijk,0
SA Western Standard Time,BR,America/Manaus America/Boa_Vista America/Porto_Velho,0
